Original,Masked,Replacement Masks,LLM Replaced masks,LLM Replaced text
"a lawyer or a member of our military, you're going to need a good education for every single one of those careers. You cannot drop out of school and just drop into a good job. You've got to train for it.","a lawyer or a member of our military, you're [MASK] to need a good education for every single one of those careers. You cannot drop [MASK] of school and just drop into a good job. You've got to [MASK] train for it.","[""going"", ""out"", """"]","[""going"", ""out"", ""learn and""]","a lawyer or a member of our military, you're going to need a good education for every single one of those careers. You cannot drop out of school and just drop into a good job. You've got to learn and train for it."

"and work for it, and learn for it. This isn't just important for your own life and your own future. What you make of your education will decide nothing less than the future of this country, the future of America.","and work for it, and learn for it. This isn't just [MASK] for your own life and your own future. What you make of your education [MASK] decide nothing less than the future of this country, [MASK] future of America.","[""important"", ""will"", ""the""]","[""about your education it's about your education"", ""will"", ""and the""]","and work for it, and learn for it. This isn't just about your education it's about your education for your own life and your own future. What you make of your education will decide nothing less than the future of this country, and the future of America."

"Depends on you. What you're learning in school today will determine whether we, as a nation, can meet our greatest challenges in the future. You'll need the knowledge and problem -solving skills you learn in science and math.","Depends on you. What you're learning in school today [MASK] determine whether we, as a nation, can [MASK] our greatest challenges in the future. [MASK] need the knowledge and problem -solving skills you learn in science and math.","[""will"", ""meet"", ""you'll""]","[""will"", ""meet"", ""you""]","Depends on you. What you're learning in school today will determine whether we, as a nation, can meet our greatest challenges in the future. you need the knowledge and problem -solving skills you learn in science and math."

"to cure diseases like cancer and AIDS, and to develop new energy technologies and protect our environment. You'll need the insights and critical thinking skills you gain in history and social studies to fight poverty and homelessness.","to cure diseases like cancer and AIDS, and to develop new energy technologies and protect our environment. [MASK] need the insights and critical [MASK] skills you gain in history and social studies to fight poverty and [MASK]","[""you'll"", ""thinking"", ""homelessness""]","[""you"", ""thinking"", ""improve the world""]","to cure diseases like cancer and AIDS, and to develop new energy technologies and protect our environment. you need the insights and critical thinking skills you gain in history and social studies to fight poverty and improve the world"

"crime, and discrimination, and make our nation more fair and more free. You'll need the creativity and ingenuity you develop in all your classes to build new companies that will create new jobs and boost our economy.","crime, and discrimination, and make [MASK] nation more fair and more free. You'll need the [MASK] and ingenuity you develop in all your classes to build new companies that will [MASK] new jobs and boost our economy.","[""our"", ""creativity"", ""create""]","[""our"", ""skills"", ""create""]","crime, and discrimination, and make our nation more fair and more free. You'll need the skills and ingenuity you develop in all your classes to build new companies that will create new jobs and boost our economy."

"We need every single one of you to develop your talents and your skills and your intellect so you can, us old folks, solve our most difficult problems. If you don't do that, if you quit on school,","We [MASK] every single one of you to develop your talents and your [MASK] and your intellect so you can, us old folks, solve our most difficult problems. If you don't do that, if you quit on [MASK]","[""need"", ""skills"", ""school,""]","[""want"", ""skills"", ""your own, you will never be successful""]","We want every single one of you to develop your talents and your skills and your intellect so you can, us old folks, solve our most difficult problems. If you don't do that, if you quit on your own, you will never be successful"

"You're not just quitting on yourself, you're quitting on your country. I know it's not always easy to do well in school. I know a lot of you have challenges in your lives right now that can make it hard to focus on your schoolwork. I get it. I know what it's like.","You're not just quitting on yourself, you're quitting on your country. I [MASK] it's not always easy to do well in school. I know a [MASK] of you have challenges in your lives right now that can make it hard to focus on your schoolwork. I [MASK] it. I know what it's like.","[""know"", ""lot"", ""get""]","[""know"", ""lot"", ""know""]","You're not just quitting on yourself, you're quitting on your country. I know it's not always easy to do well in school. I know a lot of you have challenges in your lives right now that can make it hard to focus on your schoolwork. I know it. I know what it's like."

"But at the end of the day, the circumstances of your life, what you look like, where you come from, how much money you have, what you've got going on at home, none of that is an excuse for neglecting your homework or having a bad attitude in school.","But at the end of the day, the circumstances of your life, what you look like, where you [MASK] from, how much money you have, [MASK] you've got going on at home, [MASK] of that is an excuse for neglecting your homework or having a bad attitude in school.","[""come"", ""what"", ""none""]","[""come"", ""what"", ""all""]","But at the end of the day, the circumstances of your life, what you look like, where you come from, how much money you have, what you've got going on at home, all of that is an excuse for neglecting your homework or having a bad attitude in school."

That's no excuse for talking back to your teacher or cutting class or dropping out of school. There is no excuse for not trying. Where you are right now doesn't have to determine where you'll end up.,That's no [MASK] for talking back to your teacher or [MASK] class or dropping out of school. There is no excuse for not trying. Where you are right now doesn't have to determine where you'll [MASK] up.,"[""excuse"", ""cutting"", ""end""]","[""excuse"", ""dropping out of"", ""end""]",That's no excuse for talking back to your teacher or dropping out of class or dropping out of school. There is no excuse for not trying. Where you are right now doesn't have to determine where you'll end up.

"No one's written your destiny for you. Because here in America, you write your own destiny. You make your own future. That's what young people like you are doing every day all across America. That's why today I'm calling on each of you to set your own goals for your education.","No one's written your destiny for you. Because here in America, you write your own destiny. You make your [MASK] future. That's what young people like you are doing every day all across America. That's [MASK] today I'm calling on each of you [MASK] set your own goals for your education.","[""own"", ""why"", ""to""]","[""own"", ""why"", ""to""]","No one's written your destiny for you. Because here in America, you write your own destiny. You make your own future. That's what young people like you are doing every day all across America. That's why today I'm calling on each of you to set your own goals for your education."

"and do everything you can to meet them. Your goal can be something as simple as doing all your homework, paying attention in class, or spending some time each day reading a book. Maybe you'll decide to get involved in an extracurricular activity or volunteer in your community.","and do everything you can to meet them. Your goal can be [MASK] as simple as doing all your homework, paying attention in [MASK] or spending some time each day reading [MASK] book. Maybe you'll decide to get involved in an extracurricular activity or volunteer in your community.","[""something"", ""class,"", ""a""]","[""something"", ""class,"", ""a""]","and do everything you can to meet them. Your goal can be something as simple as doing all your homework, paying attention in class, or spending some time each day reading a book. Maybe you'll decide to get involved in an extracurricular activity or volunteer in your community."

"Maybe you'll decide to stand up for kids who are being teased or bullied because of who they are or how they look. Because you believe, like I do, that all young people deserve a safe environment to study and learn.","Maybe [MASK] decide to stand up for kids who are being teased or bullied because of who [MASK] are or how they look. Because you believe, like I do, that all young people deserve a safe environment [MASK] study and learn.","[""you'll"", ""they"", ""to""]","[""you"", ""they"", ""to""]","Maybe you decide to stand up for kids who are being teased or bullied because of who they are or how they look. Because you believe, like I do, that all young people deserve a safe environment to study and learn."

"Maybe you'll decide to take better care of yourself so you can be more ready to learn. But whatever you resolve to do, I want you to commit to it. I want you to really work at it. I know that sometimes you get that sense from TV that you can be rich and successful without any hard work.","[MASK] Maybe you'll decide to take better [MASK] of yourself so you can be more ready to learn. But whatever you resolve to do, I want you to commit to it. I want you to really work [MASK] it. I know that sometimes you get that sense from TV that you can be rich and successful without any hard work.","["""", ""care"", ""at""]","["""", ""care"", ""at""]"," Maybe you'll decide to take better care of yourself so you can be more ready to learn. But whatever you resolve to do, I want you to commit to it. I want you to really work at it. I know that sometimes you get that sense from TV that you can be rich and successful without any hard work."

"that your ticket to success is through rapping or basketball or being a reality TV star, chances are you're not gonna be any of those things. Truth is, being successful is hard.","that your ticket to success is through rapping or basketball or [MASK] a reality TV star, chances are you're not gonna be any [MASK] those things. Truth is, being successful [MASK] hard.","[""being"", ""of"", ""is""]","[""being"", ""of"", ""is""]","that your ticket to success is through rapping or basketball or being a reality TV star, chances are you're not gonna be any of those things. Truth is, being successful is hard."

You won't love every subject that you study. You won't click with every teacher that you had. Not every homework assignment will seem completely relevant to your life,You won't love every [MASK] subject that you study. You [MASK] click with every teacher that you had. Not [MASK] homework assignment will seem completely relevant to your life,"["""", ""won't"", ""every""]","[""single"", ""won't"", ""every""]",You won't love every single subject that you study. You won't click with every teacher that you had. Not every homework assignment will seem completely relevant to your life

Right at this minute. And you won't necessarily succeed at everything the first time you try. That's okay. Some of the most successful people in the world are the ones who've had the most failures. J .K. Rawlings.,Right at this minute. And you won't necessarily succeed at everything the first time you [MASK] That's okay. Some of the most successful people [MASK] the world are the ones [MASK] had the most failures. J .K. Rawlings.,"[""try"", ""in"", ""who've""]","[""try"", ""in"", ""who""]",Right at this minute. And you won't necessarily succeed at everything the first time you try That's okay. Some of the most successful people in the world are the ones who had the most failures. J .K. Rawlings.

wrote Harry Potter. Her first Harry Potter book was rejected 12 times before it was finally published. Michael Jordan was cut from his high school basketball team. He lost hundreds of games and misses.,wrote Harry [MASK] Her first Harry Potter book was rejected 12 times before it was finally published. Michael Jordan was cut from [MASK] high school basketball team. He lost hundreds of games and [MASK],"[""potter"", ""his"", ""misses""]","[""potter"", ""his"", ""was drafted""]",wrote Harry potter Her first Harry Potter book was rejected 12 times before it was finally published. Michael Jordan was cut from his high school basketball team. He lost hundreds of games and was drafted

"Thousands of shots during his career, but he once said I have failed over and over and over again in my life And that's why I succeed these people succeeded because they understood that I",Thousands of shots during his [MASK] but he once said I have failed over and [MASK] and over again in my life And that's why I [MASK] these people succeeded because they understood that I,"[""career,"", ""over"", ""succeed""]","[""life"", ""over"", ""have failed and""]",Thousands of shots during his life but he once said I have failed over and over and over again in my life And that's why I have failed and these people succeeded because they understood that I

"You can't let your failures define you. You have to let your failures teach you. You have to let them show you what to do differently the next time. So if you get into trouble, that doesn't mean you're a troublemaker.","You [MASK] let your failures define you. You have [MASK] let your failures teach you. You have to let them show you what to do differently the next time. So if you [MASK] into trouble, that doesn't mean you're a troublemaker.","[""can't"", ""to"", ""get""]","[""have to"", ""to"", ""get""]","You have to let your failures define you. You have to let your failures teach you. You have to let them show you what to do differently the next time. So if you get into trouble, that doesn't mean you're a troublemaker."

"It means you need to try harder to act right. If you get a bad grade, that doesn't mean you're stupid. It just means you need to spend more time studying. No one's born being good at all things.","It [MASK] you need to try harder to act [MASK] If you get a bad grade, that doesn't mean you're stupid. It just means you [MASK] to spend more time studying. No one's born being good at all things.","[""means"", ""right"", ""need""]","[""just means"", """", ""need""]","It just means you need to try harder to act  If you get a bad grade, that doesn't mean you're stupid. It just means you need to spend more time studying. No one's born being good at all things."

You become good at things through hard work. You're not a varsity athlete the first time you play a new sport. You don't hit every note the first time you sing a song. You've got to practice. The same principle applies to your schoolwork.,You become good at things through hard work. [MASK] You're not a varsity athlete the first time [MASK] play a new sport. You don't hit every note the first time you sing a song. You've got [MASK] practice. The same principle applies to your schoolwork.,"["""", ""you"", ""to""]","[""you learn to play sports"", ""you"", ""to""]",You become good at things through hard work. you learn to play sports You're not a varsity athlete the first time you play a new sport. You don't hit every note the first time you sing a song. You've got to practice. The same principle applies to your schoolwork.

You might have to do a math problem a few times before you get it right. You might have to read something a few times before you understand it. You definitely have to do a few drafts of a paper before it's good enough to hand in.,You might [MASK] to do a math problem a few times before you get it right. You might have to read something a few times before you [MASK] it. You definitely have to do a few drafts [MASK] a paper before it's good enough to hand in.,"[""have"", ""understand"", ""of""]","[""have"", ""get"", ""of""]",You might have to do a math problem a few times before you get it right. You might have to read something a few times before you get it. You definitely have to do a few drafts of a paper before it's good enough to hand in.

"Don't be afraid to ask questions. Don't be afraid to ask for help when you need it. I do that every day. Asking for help isn't a sign of weakness, it's a sign of strength, because it shows you have the courage to admit when you don't know something,","Don't be afraid to ask questions. Don't be afraid [MASK] ask for help when you need it. I do that every day. Asking for help isn't a sign of weakness, it's a sign of strength, [MASK] it shows you have the [MASK] to admit when you don't know something,","[""to"", ""because"", ""courage""]","[""to"", ""and"", ""strength""]","Don't be afraid to ask questions. Don't be afraid to ask for help when you need it. I do that every day. Asking for help isn't a sign of weakness, it's a sign of strength, and it shows you have the strength to admit when you don't know something,"

"And that then allows you to learn something new. So find an adult that you trust, a parent, a grandparent, or a teacher, a coach, or a counselor, and ask them to help you stay on track to meet your goals.","And that [MASK] allows you to learn something new. So find an adult that you trust, a [MASK] a grandparent, or a teacher, a coach, or a counselor, and [MASK] ask them to help you stay on track to meet your goals.","[""then"", ""parent,"", """"]","[""s what"", ""parent,"", ""then""]","And that s what allows you to learn something new. So find an adult that you trust, a parent, a grandparent, or a teacher, a coach, or a counselor, and then ask them to help you stay on track to meet your goals."

"And even when you're struggling, even when you're discouraged, feel like other people have given up on you, don't ever give up on yourself. Because when you give up on yourself, you give up on your country. The story of America isn't about people who quit when things got tough.","[MASK] even when you're struggling, even when you're discouraged, feel like other people have given up on you, don't ever [MASK] up on yourself. Because when you give up on yourself, you give up on your country. The story of America isn't about people who quit [MASK] things got tough.","[""and"", ""give"", ""when""]","[""so"", ""give"", ""when""]","so even when you're struggling, even when you're discouraged, feel like other people have given up on you, don't ever give up on yourself. Because when you give up on yourself, you give up on your country. The story of America isn't about people who quit when things got tough."

"It's about people who kept going, who tried harder, who loved their country too much to do anything less than their best. The story of students who sat where you sit 250 years ago and went on to wage a revolution and they founded this nation.","It's [MASK] people who kept going, who tried harder, [MASK] loved their country too much to do anything less than their best. The story of students who sat where you sit 250 years ago and went on to wage a revolution and they founded this [MASK] nation.","[""about"", ""who"", """"]","[""the story of"", ""who"", ""great""]","It's the story of people who kept going, who tried harder, who loved their country too much to do anything less than their best. The story of students who sat where you sit 250 years ago and went on to wage a revolution and they founded this great nation."

"Young people, students who sat where you sit 75 years ago, who overcame a depression and won a world war, fought for civil rights and put a man on the moon. Students who sat where you sit 20 years ago.","Young people, students who sat where you [MASK] 75 years ago, who overcame a depression and won a world war, fought for civil rights and put [MASK] a man on the moon. Students who sat [MASK] you sit 20 years ago.","[""sit"", """", ""where""]","[""sit"", ""the life of"", ""where""]","Young people, students who sat where you sit 75 years ago, who overcame a depression and won a world war, fought for civil rights and put the life of a man on the moon. Students who sat where you sit 20 years ago."

"who founded Google and Twitter and Facebook and changed the way we communicate with each other. So today, I wanna ask all of you, what's your contribution gonna be? What problems are you gonna solve?","who founded Google and Twitter and Facebook and changed the way we communicate with each other. So today, [MASK] wanna ask all of you, what's your contribution [MASK] be? What problems are you [MASK] solve?","[""i"", ""gonna"", ""gonna""]","[""i"", ""to the world what would your contribution"", ""trying to""]","who founded Google and Twitter and Facebook and changed the way we communicate with each other. So today, i wanna ask all of you, what's your contribution to the world what would your contribution be? What problems are you trying to solve?"

"What discoveries will you make? What will a president who comes here in 20 or 50 or 100 years say about what all of you did for this country? Now, your families, your teachers, and I are doing everything we can to make sure you have the education you need.","What discoveries will you [MASK] What will a president who comes here in 20 or 50 or 100 years say about what [MASK] all of you did for this country? Now, your families, your teachers, and I are doing everything we can to make sure you [MASK] the education you need.","[""make"", """", ""have""]","[""make"", ""you and"", ""get""]","What discoveries will you make What will a president who comes here in 20 or 50 or 100 years say about what you and all of you did for this country? Now, your families, your teachers, and I are doing everything we can to make sure you get the education you need."

to answer these questions. I'm working hard to fix up your classrooms and get you the books and the equipment and the computers you need to learn. But you've got to do your part too. So I expect all of you to get serious this year.,to answer these questions. I'm working hard to fix up your [MASK] and get you the books and the equipment and the [MASK] you need to learn. But you've got to do your part too. So I expect all of you to [MASK] serious this year.,"[""classrooms"", ""computers"", ""get""]","[""computer"", ""tools"", ""take this""]",to answer these questions. I'm working hard to fix up your computer and get you the books and the equipment and the tools you need to learn. But you've got to do your part too. So I expect all of you to take this serious this year.

"I expect you to put your best effort into everything you do. I expect great things from each of you. Don't let us down. Don't let your family down or your country down. Most of all, don't let yourself down.","I expect you to put your best effort into everything you do. I expect great [MASK] from each of you. Don't let us [MASK] Don't let your family down [MASK] your country down. Most of all, don't let yourself down.","[""things"", ""down"", ""or""]","[""things"", ""down"", "" don't let""]","I expect you to put your best effort into everything you do. I expect great things from each of you. Don't let us down Don't let your family down  don't let your country down. Most of all, don't let yourself down."

"Thank you, thank you. So let me say, and I love you back. I love you back. So let me say, my heart is full today. My heart is full today.","Thank you, thank you. So let me say, and I love you back. I [MASK] you back. So let me [MASK] my heart is full today. My heart [MASK] full today.","[""love"", ""say,"", ""is""]","[""love"", ""say, and"", ""is""]","Thank you, thank you. So let me say, and I love you back. I love you back. So let me say, and my heart is full today. My heart is full today."

"full of gratitude for the trust you have placed in me, full of love for our country, and full of resolve. The outcome of this election is not what we wanted.","full of [MASK] for the trust you have placed in me, full of love for our [MASK] and full of resolve. The [MASK] of this election is not what we wanted.","[""gratitude"", ""country,"", ""outcome""]","[""gratitude"", ""country"", ""outcome""]","full of gratitude for the trust you have placed in me, full of love for our country and full of resolve. The outcome of this election is not what we wanted."

"not what we fought for, not what we voted for, but hear me when I say, hear me when I say, the light of America's promise will always burn bright.","not what we fought for, not what [MASK] voted for, but hear me [MASK] I say, hear me when I say, the light of [MASK] promise will always burn bright.","[""we"", ""when"", ""america's""]","[""we"", ""when"", ""my""]","not what we fought for, not what we voted for, but hear me when I say, hear me when I say, the light of my promise will always burn bright."

"As long as we never give up and as long as we keep fighting. To my beloved Doug and our family, I love you so very much.","As long [MASK] we never give up and as long [MASK] we keep fighting. To my beloved Doug and our family, [MASK] love you so very much.","[""as"", ""as"", ""i""]","[""as we keep fighting,"", ""as"", ""i""]","As long as we keep fighting, we never give up and as long as we keep fighting. To my beloved Doug and our family, i love you so very much."

"To President Biden and Dr. Biden, thank you for your faith and support. To Governor Walz and the Walz family, I know your service to our nation will continue.","To President Biden and Dr. Biden, thank you for your faith and support. [MASK] Governor Walz and the Walz family, [MASK] know your service to our [MASK] will continue.","[""to"", ""i"", ""nation""]","[""to"", ""i"", ""state""]","To President Biden and Dr. Biden, thank you for your faith and support. to Governor Walz and the Walz family, i know your service to our state will continue."

"to my extraordinary team, to the volunteers who gave so much of themselves, to the poll workers and the local election officials.","to my [MASK] team, to the volunteers who gave so much [MASK] themselves, to the poll workers and [MASK] local election officials.","[""extraordinary"", ""of"", ""the""]","[""election"", ""of"", ""to the""]","to my election team, to the volunteers who gave so much of themselves, to the poll workers and to the local election officials."

"I thank you, I thank you all. Look, I am so proud of the race we ran and the way we ran it. And the way we ran it over the 107 days of this campaign.","I thank [MASK] I thank you all. Look, I am so proud of the race we ran and [MASK] way we ran it. And the [MASK] we ran it over the 107 days of this campaign.","[""you,"", ""the"", ""way""]","[""you all"", ""the"", ""way""]","I thank you all I thank you all. Look, I am so proud of the race we ran and the way we ran it. And the way we ran it over the 107 days of this campaign."

"We have been intentional about building community and building coalitions, bringing people together from every walk of life and background.","We have [MASK] intentional about building community and [MASK] coalitions, bringing people together from [MASK] walk of life and background.","[""been"", ""building"", ""every""]","[""been"", ""building"", ""every""]","We have been intentional about building community and building coalitions, bringing people together from every walk of life and background."

United by love of country with enthusiasm and joy in our fight for America's future. And we did it with the knowledge.,United by love of country [MASK] enthusiasm and joy in our fight [MASK] America's future. And we did it with [MASK] knowledge.,"[""with"", ""for"", ""the""]","["","", ""for"", ""passion and""]","United by love of country , enthusiasm and joy in our fight for America's future. And we did it with passion and knowledge."

that we all have so much more in common than what separates us. Now I know folks are feeling and experiencing a range of emotions right now. I get it.,that we all have so much more in common than what [MASK] us. Now I know folks [MASK] feeling and experiencing a range of emotions right [MASK] I get it.,"[""separates"", ""are"", ""now""]","[""is shared between"", ""are"", ""now""]",that we all have so much more in common than what is shared between us. Now I know folks are feeling and experiencing a range of emotions right now I get it.

"but we must accept the results of this election. Earlier today, I spoke with President -elect Trump and congratulated him on his victory. I also told him...","but we must accept [MASK] results of this election. Earlier today, I spoke with [MASK] President -elect Trump and congratulated him on his [MASK] I also told him...","[""the"", """", ""victory""]","[""the"", ""the"", ""victory""]","but we must accept the results of this election. Earlier today, I spoke with the President -elect Trump and congratulated him on his victory I also told him..."

That we will help him and his team with their transition. And that we will engage in a peaceful transfer of power. The fundamental principle of American democracy.,That we will help him and [MASK] team with their transition. And that we will engage [MASK] a peaceful transfer of power. [MASK] fundamental principle of American democracy.,"[""his"", ""in"", ""the""]","[""his"", ""in"", ""that is a""]",That we will help him and his team with their transition. And that we will engage in a peaceful transfer of power. that is a fundamental principle of American democracy.

"is that when we lose an election, we accept the results. That principle, as much as any other, distinguishes democracy from monarchy or tyranny.","is that when we lose an [MASK] election, we accept the results. That [MASK] as much as any other, distinguishes [MASK] from monarchy or tyranny.","["""", ""principle,"", ""democracy""]","[""election, we accept the results when we win an"", "","", ""us""]","is that when we lose an election, we accept the results when we win an election, we accept the results. That , as much as any other, distinguishes us from monarchy or tyranny."

"and anyone who seeks the public trust must honor it. At the same time, in our nation, we owe loyalty not to a president,","and anyone who seeks the [MASK] trust must honor it. At the same [MASK] in our nation, we owe loyalty not to [MASK] president,","[""public"", ""time,"", ""a""]","[""highest level of"", ""time,"", ""our""]","and anyone who seeks the highest level of trust must honor it. At the same time, in our nation, we owe loyalty not to our president,"

"or a party, but to the Constitution of the United States. Tea to our conscience and to our God. My allegiance to all three is why I am here to say.","or a party, but [MASK] to the Constitution of the United States. [MASK] to our conscience and to our God. My allegiance to [MASK] three is why I am here to say.","["""", ""tea"", ""all""]","[""i am committed"", ""i am committed"", ""all""]","or a party, but i am committed to the Constitution of the United States. i am committed to our conscience and to our God. My allegiance to all three is why I am here to say."

"While I concede this election, I do not concede the fight that fueled this campaign, the fight, the fight for freedom.","While I concede this election, I [MASK] not concede the fight that fueled this [MASK] the fight, the fight for [MASK]","[""do"", ""campaign,"", ""freedom""]","[""do"", ""election i concede"", ""the election""]","While I concede this election, I do not concede the fight that fueled this election i concede the fight, the fight for the election"

"for opportunity, for fairness, and the dignity of all people. A fight for the ideals at the heart of our nation, the ideals that reflect America at our best.","[MASK] opportunity, for fairness, and the dignity of [MASK] people. A fight for the ideals at the heart of our nation, the ideals that reflect America at [MASK] best.","[""for"", ""all"", ""our""]","[""for equal"", ""our"", ""its""]","for equal opportunity, for fairness, and the dignity of our people. A fight for the ideals at the heart of our nation, the ideals that reflect America at its best."

"That is a fight I will never give up. I will never give up the fight for a future where Americans can pursue their dreams, ambitions, and aspirations.","That is [MASK] fight I will never give [MASK] I will never give up the fight for a future where [MASK] can pursue their dreams, ambitions, and aspirations.","[""a"", ""up"", ""americans""]","[""the"", ""up"", ""everyone""]","That is the fight I will never give up I will never give up the fight for a future where everyone can pursue their dreams, ambitions, and aspirations."

