Original,Masked,Replacement Masks,LLM Replaced masks,LLM Replaced text
"The day I took office, we inherited, thank you. The day I took office, we inherited a colossal invasion on our southern border, an invasion like you'd never want to see here.","The day I took [MASK] office, we inherited, thank you. The day I took office, we inherited [MASK] colossal invasion on our southern border, an invasion like [MASK] never want to see here.","["""", ""a"", ""you'd""]","["""", """", """"]","The day I took  office, we inherited, thank you. The day I took office, we inherited  colossal invasion on our southern border, an invasion like  never want to see here."
"Nobody should ever want to see it. But within weeks, we slashed illegal border crossings to an all -time low, down 99 .999%.","Nobody should ever [MASK] to see it. But within weeks, we slashed illegal border [MASK] to an all -time low, down 99 [MASK]","[""want"", ""crossings"", """"]","[""have"", ""crossings"", ""percent""]","Nobody should ever have to see it. But within weeks, we slashed illegal border crossings to an all -time low, down 99 percent"
"That's good, even for this great gentleman standing right in front of me. That's a good number. We had hundreds of thousands of people. They came in at the same time last year.","That's good, even for this [MASK] gentleman standing right in front of [MASK] That's a good number. We [MASK] hundreds of thousands of people. They came in at the same time last year.","[""great"", ""me"", ""had""]","["""", ""me"", """"]","That's good, even for this  gentleman standing right in front of me That's a good number. We  hundreds of thousands of people. They came in at the same time last year."
"And last month, we had, in this massive border, three people that got in. That's quite a difference. And we have no choice but to get a lot of the people that came in because they were not the best people.","[MASK] And last month, we had, in this massive border, three people that got in. That's quite a difference. And we have [MASK] choice but to get a lot of the people that [MASK] in because they were not the best people.","["""", ""no"", ""came""]","[""that's right"", ""no"", ""came""]","that's right And last month, we had, in this massive border, three people that got in. That's quite a difference. And we have no choice but to get a lot of the people that came in because they were not the best people."
"They were, in many cases, very bad people. We're getting them out. We're getting them out very fast. We're bringing them back to where they came from. We have no choice. After years of military recruiting, shortfalls.","They were, in many cases, very bad people. We're getting [MASK] out. We're getting them out very fast. We're bringing them back to where they [MASK] from. We have no choice. After years of [MASK] recruiting, shortfalls.","[""them"", ""came"", ""military""]","[""them"", """", """"]","They were, in many cases, very bad people. We're getting them out. We're getting them out very fast. We're bringing them back to where they  from. We have no choice. After years of  recruiting, shortfalls."
enlistments in the U .S. armed forces are now the highest in 30 years because there is such an incredible spirit in the United States of America. We have tremendous spirit again.,enlistments [MASK] the U .S. armed forces [MASK] now the highest in 30 years because there is such an incredible spirit in the United States of America. We have tremendous [MASK] again.,"[""in"", ""are"", ""spirit""]","[""in"", ""are"", ""potential to do it""]",enlistments in the U .S. armed forces are now the highest in 30 years because there is such an incredible spirit in the United States of America. We have tremendous potential to do it again.
"just about a year ago, it was a big story, front page on every paper all over the world, that nobody wanted to enlist in our military, meaning we were way under enlisted.","just about a year ago, it was a [MASK] story, front page on every paper all over [MASK] world, that nobody wanted to enlist in our [MASK] meaning we were way under enlisted.","[""big"", ""the"", ""military,""]","[""big"", ""the"", ""country,""]","just about a year ago, it was a big story, front page on every paper all over the world, that nobody wanted to enlist in our country, meaning we were way under enlisted."
"And just last week it came out that we had the strongest enlistment. They say 30 years, but probably it's maybe ever. They don't go back that far. It's the best. And that includes police officers, firemen, everything else. There's a great spirit in the United States right now.","And just last week it came [MASK] that we had the strongest enlistment. [MASK] say 30 years, but probably it's maybe ever. They don't go back that far. It's the best. And that includes police officers, firemen, everything else. There's a great [MASK] in the United States right now.","[""out"", ""they"", ""spirit""]","[""out"", ""i wouldn't"", ""deal of talent""]","And just last week it came out that we had the strongest enlistment. i wouldn't say 30 years, but probably it's maybe ever. They don't go back that far. It's the best. And that includes police officers, firemen, everything else. There's a great deal of talent in the United States right now."
"A brand new poll from Rasmussen just showed that the number of Americans who believe the nation is on the right track, they have a right track, wrong track, is now the highest in over 20 years.","[MASK] brand new poll from Rasmussen just showed that the number of [MASK] who believe the nation is [MASK] the right track, they have a right track, wrong track, is now the highest in over 20 years.","[""a"", ""americans"", ""on""]","[""a"", ""americans"", ""on""]","a brand new poll from Rasmussen just showed that the number of americans who believe the nation is on the right track, they have a right track, wrong track, is now the highest in over 20 years."
And it hasn't been anything like this because for many years it was the wrong track. And I can tell you for the last four years it was definitely the wrong track. But it's the highest it's been.,And it hasn't been anything like this because for many years it was the wrong track. And I can [MASK] you for the last four [MASK] it was definitely the wrong track. [MASK] it's the highest it's been.,"[""tell"", ""years"", ""but""]","[""tell"", ""or five years,"", """"]","And it hasn't been anything like this because for many years it was the wrong track. And I can tell you for the last four or five years, it was definitely the wrong track.  it's the highest it's been."
"many, many years. We renamed the Gulf of Mexico into the Gulf of America. That was very popular, other than perhaps with Mexico. And most importantly for the people in this room, the days of economic misery under the last administration are rapidly giving way to the greatest economy in the history of the world. We are rocking. The United States is the hottest country, with the exception of your country, I have to say, right?","many, many years. We renamed the Gulf of Mexico into the Gulf of America. That was very popular, other than perhaps with Mexico. And most [MASK] for the people in this room, the days of economic misery under the [MASK] administration are rapidly giving way to the greatest economy in the history of the world. We are rocking. The United States is the [MASK] country, with the exception of your country, I have to say, right?","[""importantly"", ""last"", ""hottest""]","[""of all,"", ""obama"", ""worlds greatest economy and it is the greatest""]","many, many years. We renamed the Gulf of Mexico into the Gulf of America. That was very popular, other than perhaps with Mexico. And most of all, for the people in this room, the days of economic misery under the obama administration are rapidly giving way to the greatest economy in the history of the world. We are rocking. The United States is the worlds greatest economy and it is the greatest country, with the exception of your country, I have to say, right?"
"I won't. I'm not going to take that on. No, Mohammed, I'm not going to take that on. I wouldn't that be a terrible thing if I made that full statement, but I will not do it. You're hotter.","I won't. I'm not going to [MASK] that on. No, Mohammed, I'm not going to [MASK] that on. I wouldn't that be a terrible thing [MASK] I made that full statement, but I will not do it. You're hotter.","[""take"", ""take"", ""if""]","[""put"", """", """"]","I won't. I'm not going to put that on. No, Mohammed, I'm not going to  that on. I wouldn't that be a terrible thing  I made that full statement, but I will not do it. You're hotter."
